Feature name,Distribution,Reject pvalue,Params,target
307,weibull_min,0.9792755170363314,"(3.1257538464341432, 3.3172780445471917, 1.7003928961019819)",lesional
308,weibull_min,0.4551478545237341,"(15.9576826307148, 1.5135345165298375, 4.168012322389804)",lesional
310,weibull_min,0.5370403511913537,"(8.343965164795609, 0.06400472217849129, 3.8999714401316767)",lesional
311,weibull_min,0.4389415323608763,"(4.777211882450285, 4.950058255873463, 1.0277301574545814)",lesional
313,weibull_min,0.5711815568680428,"(3.5659885262175868, -0.01764047553264692, 3.493322251078)",lesional
314,weibull_min,0.45432274560409225,"(16.609632787175315, -1.281519507669839, 5.2516449725532794)",lesional
315,weibull_min,0.9708801287514037,"(10.215919356457784, 0.23432721285621086, 3.734572095168179)",lesional
317,weibull_min,0.8661422246497119,"(15.411399077004766, 2.610166678246001, 3.625173540810919)",lesional
319,norm,0.33589583674046375,"(5.4534961121405585, 0.6194800443279898)",lesional
320,norm,0.4761240429266309,"(3.271293356930725, 0.5152610649031276)",lesional
322,weibull_max,0.8642370689032087,"(2.2139087727523723, 7.631181315938815, 0.8031127646835243)",lesional
323,norm,0.7435607466247635,"(5.183470122410573, 0.2611942792658464)",lesional
324,norm,0.5162864636813351,"(5.475265173049236, 0.552019615502237)",lesional
325,weibull_min,0.9294515140586876,"(6.236094140375229, 1.4083040279534313, 2.1635585708318343)",lesional
326,norm,0.8033096780255341,"(6.4596933174106015, 0.2403800960963749)",lesional
327,genextreme,0.9388942913133727,"(0.47229932451215306, 5.613171032345994, 0.4021742227762042)",lesional
329,norm,0.9046218973425383,"(3.4199177342063583, 0.8709303633094085)",lesional
330,weibull_min,0.6602309354969371,"(5.736622994548316, 4.780816789812949, 1.9908884313915258)",lesional
331,weibull_min,0.6178777279194024,"(91918093.53229073, -26334552.475479104, 26334559.910028525)",lesional
332,norm,0.9056209630412735,"(5.78348153969757, 0.23342161495866942)",lesional
333,norm,0.9005711923836075,"(4.8961258399583345, 0.3394981598929221)",lesional
335,weibull_min,0.7104278685144798,"(8.585312355651372, -0.12306050627648464, 5.784080166486367)",lesional
336,weibull_min,0.43599007211748975,"(7.375139705722432, 2.988619444027357, 1.866093494660468)",lesional
337,weibull_min,0.8953551967426627,"(14.122979840165957, 0.8106696656018335, 3.365475116564258)",lesional
338,genextreme,0.828814829286419,"(0.5637307057771017, 4.499705527996831, 0.4398021250637185)",lesional
339,weibull_min,0.9891980259615524,"(28.505033435322197, -1.8711268080807857, 6.226285521398898)",lesional
340,weibull_min,0.7648340372416513,"(5.067926096693903, 1.3234382432075709, 2.4583825293096084)",lesional
341,weibull_min,0.9645950973291431,"(5.503367529276428, 3.4692897340493323, 1.1724127869737115)",lesional
342,norm,0.7441995437615542,"(2.818414180005016, 0.8188542089256402)",lesional
343,weibull_min,0.5021676799561856,"(8.163521099162999, -0.9816821849764008, 3.4447502543574657)",lesional
344,weibull_min,0.9977841374352562,"(2.720313859008461, 1.3714827407966217, 2.0058374662391936)",lesional
345,weibull_min,0.7226613634160806,"(5.038092165178178, 3.079431444932161, 1.6166098675529152)",lesional
346,norm,0.2256832070322876,"(5.202999374582253, 0.5545055491232079)",lesional
347,norm,0.8782528666890436,"(3.9381172515553122, 0.2961196845986211)",lesional
348,norm,0.17514959068452018,"(4.185630466242402, 0.4601768907149251)",lesional
349,weibull_min,0.6537831169715904,"(12.653110108603638, 4.7448961098128954, 3.8670092014686146)",lesional
350,genextreme,0.9037923372522856,"(0.3976170898919939, 6.03404176737971, 0.5063675676038191)",lesional
351,weibull_min,0.5057980927240671,"(102.09263060958267, -18.67174759931295, 25.177738706956532)",lesional
352,norm,0.44495413037562137,"(5.5527598169362085, 0.43780892845794944)",lesional
353,genextreme,0.990691409611023,"(0.37646264826656983, 3.0765994837827373, 0.3822914043293339)",lesional
354,weibull_min,0.9260681610124283,"(9.09709485281273, 2.208536349162893, 2.522634203199342)",lesional
355,weibull_min,0.9971154600213984,"(12.459069579459499, 1.0359726930477464, 3.9141510452567467)",lesional
